"time","symbol","price","float","volume","relative","change","strategy"
"04:19:15  03-13-2020","MOHO","7,59","5.429.320","1.100,5","1,56","7,0","High Momo"
"04:15:33  03-13-2020","ESEA","2,54","1.038.300","2.616,7","4,00","19,0","High Momo"
"04:14:55  03-13-2020","ESEA","2,48","1.038.300","1.617,5","2,82","16,4","High Momo"
"04:14:55  03-13-2020","ESEA","2,45","1.038.300","1.579,0","2,77","15,0","High Momo"
"04:14:38  03-13-2020","ESEA","2,38","1.038.300","1.139,6","2,24","11,5","High Momo"
"04:14:38  03-13-2020","ESEA","2,35","1.038.300","1.005,1","2,08","10,3","High Momo"
"04:14:27  03-13-2020","TSBK","19,01","7.857.600","5.824,4","8,89","9,8","High Momo"
"04:14:05  03-13-2020","CHNR","1,47","9.448.400","7.009,7","3,64","110,3","High Momo"
"04:13:09  03-13-2020","CHNR","1,44","9.448.400","2.920,0","2,23","106,0","High Momo"
"04:13:06  03-13-2020","CHNR","1,43","9.448.400","2.863,5","2,22","104,6","High Momo"
"04:12:32  03-13-2020","CHNR","1,40","9.448.400","2.677,6","2,10","100,3","High Momo"
"04:12:25  03-13-2020","CHNR","1,37","9.448.400","2.624,8","2,09","96,1","High Momo"
"04:11:58  03-13-2020","ESP","19,60","2.125.160","1.643,0","3,22","9,2","High Momo"
"04:11:55  03-13-2020","CHNR","1,35","9.448.400","1.994,2","1,89","93,2","High Momo"
"04:11:45  03-13-2020","CHNR","1,30","9.448.400","1.882,5","1,85","86,0","High Momo"
"04:11:21  03-13-2020","MOHO","7,54","5.429.320","1.461,0","1,52","6,3","High Momo"
"04:10:04  03-13-2020","CHNR","1,28","9.448.400","1.035,2","1,59","83,1","High Momo"
"04:06:27  03-13-2020","UONEK","1,40","16.868.400","6.821,1","1,17","1,8","High Momo"
"04:04:01  03-13-2020","CSBR","6,88","8.078.420","2.783,2","4,63","64,2","High Momo"
"04:03:57  03-13-2020","PCYG","4,09","12.373.200","1.498,7","1,27","7,3","High Momo"
"04:02:47  03-13-2020","CSBR","6,46","8.078.420","2.290,7","4,08","54,2","High Momo"
"04:01:12  03-13-2020","AMAL","12,56","15.097.500","1.104,7","4,58","7,6","High Momo"
"04:01:04  03-13-2020","IFMK","1,29","16.819.000","2.092,9","4,75","50,0","High Momo"
"04:00:25  03-13-2020","IFMK","1,28","16.819.000","2.104,9","4,59","48,8","High Momo"
"03:59:59  03-13-2020","CSBR","6,45","8.078.420","2.471,6","4,13","53,9","High Momo"
"03:59:47  03-13-2020","GLBS","1,07","1.768.290","5.985,0","66,44","224,6","High Momo"
"03:59:47  03-13-2020","GLBS","1,06","1.768.290","5.980,0","66,43","221,6","High Momo"
"03:59:27  03-13-2020","IFMK","1,27","16.819.000","1.627,6","4,17","47,7","High Momo"
"03:59:14  03-13-2020","IFMK","1,25","16.819.000","1.483,5","4,04","45,3","High Momo"
"03:59:14  03-13-2020","IFMK","1,24","16.819.000","1.480,3","4,04","44,2","High Momo"
"03:59:13  03-13-2020","IFMK","1,23","16.819.000","1.459,8","4,02","43,0","High Momo"
"03:58:30  03-13-2020","GLBS","1,04","1.768.290","5.211,5","63,42","215,5","High Momo"
"03:58:23  03-13-2020","GLBS","1,03","1.768.290","4.959,7","63,00","212,5","High Momo"
"03:58:23  03-13-2020","GLBS","1,02","1.768.290","4.955,9","63,00","209,5","High Momo"
"03:58:23  03-13-2020","GLBS","1,01","1.768.290","4.926,9","62,94","206,4","High Momo"
"03:54:58  03-13-2020","ESP","19,50","2.125.160","5.631,3","2,08","8,6","High Momo"
"03:54:49  03-13-2020","ESP","19,45","2.125.160","4.937,1","1,87","8,4","High Momo"
"03:52:59  03-13-2020","FUSB","7,51","5.881.420","2.456,6","8,71","4,3","High Momo"
"03:49:40  03-13-2020","CHNR","1,05","9.448.400","1.020,5","1,38","50,2","High Momo"
"03:47:41  03-13-2020","NHTC","3,38","9.452.230","1.306,2","2,35","8,0","High Momo"
"03:38:45  03-13-2020","WSTG","14,16","4.298.260","1.715,1","2,57","2,2","High Momo"
"03:38:29  03-13-2020","CSBR","6,44","8.078.420","2.042,3","3,87","53,7","High Momo"
"03:33:36  03-13-2020","MOHO","7,50","5.429.320","2.201,1","2,01","5,7","High Momo"
"03:31:58  03-13-2020","PFSW","2,73","18.889.400","1.218,7","2,66","37,4","High Momo"
"03:29:41  03-13-2020","CLGN","10,20","2.520.260","2.441,1","2,84","6,8","High Momo"
"03:29:35  03-13-2020","CSBR","6,17","8.078.420","2.261,6","3,45","47,3","High Momo"
